student_id,first_name,last_name,date_of_birth,gender
1,Ernest,Smith,2003-08-13,F
2,Nicholas,Ward,2004-07-05,F
3,Lauren,Roman,1999-07-12,F
4,Crystal,Gordon,2004-10-11,F
5,Joshua,Murray,2002-09-21,M
6,Christina,Perry,1998-07-13,M
7,Jennifer,Hamilton,2006-03-05,M
8,Ryan,Ho,2003-04-07,F
9,Michael,Hernandez,2000-06-21,M
10,Emily,Hall,2004-03-28,F
11,David,Willis,2001-05-18,F
12,Crystal,Patterson,2005-10-06,F
13,Samantha,Salinas,2006-03-25,F
14,Cody,Stephenson,1998-07-19,M
15,Patricia,Hood,2003-09-20,M
16,Johnny,Le,1999-04-09,M
17,Michaela,Paul,2005-11-26,M
18,James,Carson,2004-06-03,M
19,David,Newman,2001-12-12,M
20,Chelsea,Long,2002-06-24,M
21,Michael,Foster,2005-06-21,M
22,Suzanne,Hubbard,2005-04-14,M
23,Kevin,Ramirez,2002-07-05,M
24,Brittany,Davis,2001-02-06,M
25,Anthony,Walker,2004-05-10,M
26,Emily,Burns,2002-11-27,M
27,Robert,Jackson,2001-06-02,F
28,Jenna,Beck,2000-04-21,F
29,Kirsten,Mason,2005-11-26,F
30,Ashley,Thomas,2004-02-18,F
31,Christina,Simpson,1999-03-18,F
32,Karen,Johnson,2004-03-25,M
33,Carl,Rodgers,1999-12-12,F
34,Jeffrey,Sanford,1998-11-26,F
35,Renee,Hansen,2000-10-16,M
36,Carlos,Richards,2004-05-15,F
37,Amanda,Clark,2003-12-08,M
38,Gregory,Curry,2005-11-30,F
39,Dustin,Pierce,2004-09-18,F
40,Reginald,White,2005-09-25,M
41,Megan,Reynolds,2002-03-25,F
42,Bradley,Hall,2005-08-08,M
43,Alan,Brooks,2003-05-04,M
44,Kathryn,Farmer,2001-09-17,F
45,Jordan,Bautista,2004-05-05,F
46,Justin,Williams,1998-08-24,F
47,Lisa,Rodriguez,2002-09-09,F
48,Tami,Williams,2005-09-21,F
49,Matthew,Fitzgerald,1999-09-03,F
50,Richard,Jones,2003-04-06,F
51,Christine,Horn,2001-03-12,F
52,Matthew,Harrison,1999-06-19,M
53,Stacie,Scott,2001-10-15,F
54,Jason,Hobbs,2003-10-15,M
55,Ronald,Owens,2003-10-31,M
56,Nathan,Harris,2001-03-02,M
57,Amanda,Ayala,2001-04-17,M
58,Nicole,Hayes,2006-03-20,M
